StudentID,Name,Gender,AttendanceRate,StudyHoursPerWeek,PreviousGrade,ExtracurricularActivities,ParentalSupport,FinalGrade,Study Hours,Attendance (%),Online Classes Taken,Result
1.0,John,Male,85.0,15.0,78.0,1.0,High,80.0,4.8,59.0,False,Pass
2.0,Sarah,Female,90.0,20.0,85.0,2.0,Medium,87.0,2.2,70.0,True,Pass
3.0,Alex,Male,78.0,10.0,65.0,0.0,Low,68.0,4.6,92.0,False,Fail
4.0,Michael,Male,92.0,25.0,90.0,3.0,High,92.0,2.9,96.0,False,Pass
5.0,Emma,Female,,18.0,82.0,2.0,Medium,85.0,4.1,97.0,True,Pass
6.0,Olivia,Female,95.0,30.0,88.0,1.0,High,,2.8,97.0,False,
7.0,Daniel,Male,70.0,8.0,60.0,0.0,Low,62.0,4.5,96.0,False,Fail
8.0,Sophia,Female,,17.0,77.0,1.0,Medium,78.0,1.0,70.0,True,Pass
9.0,James,Male,82.0,12.0,70.0,2.0,Low,72.0,3.6,50.0,False,Pass
10.0,Isabella,Female,91.0,22.0,86.0,3.0,High,88.0,2.9,59.0,True,Pass
2824.0,Shannon Harrison,Male,88.0,25.0,90.0,0.0,,87.0,3.4,84.0,True,Pass
7912.0,Peter Davila,Male,85.0,20.0,,3.0,Low,88.0,0.1,62.0,False,Pass
4611.0,Katherine Gray,Female,91.0,18.0,78.0,0.0,Low,62.0,1.7,59.0,True,Fail
6514.0,Megan Miller,Male,90.0,8.0,85.0,1.0,Medium,88.0,1.3,52.0,False,Pass
,James Williams,Male,70.0,20.0,70.0,2.0,Low,88.0,4.4,73.0,True,Pass
2139.0,Derrick Alexander,Male,,18.0,85.0,3.0,High,62.0,1.4,90.0,False,Fail
,Courtney Clark,,95.0,25.0,82.0,2.0,Low,68.0,2.7,65.0,True,Fail
8573.0,James Smith,Female,88.0,12.0,90.0,1.0,High,92.0,4.1,70.0,False,Pass
5386.0,James Reynolds,Male,92.0,22.0,88.0,3.0,Low,78.0,2.0,91.0,False,Pass
3340.0,Brittany Sutton,Female,78.0,25.0,70.0,2.0,Medium,88.0,2.1,87.0,False,Pass
6930.0,Annette Medina,Male,78.0,12.0,77.0,2.0,High,87.0,0.8,60.0,False,Pass
2040.0,James Duncan,Female,70.0,22.0,77.0,2.0,Medium,72.0,4.3,50.0,True,Pass
9797.0,Donna Taylor,Female,95.0,20.0,82.0,,High,78.0,0.0,96.0,False,Pass
9201.0,David Robertson,Male,82.0,20.0,82.0,,Low,,0.8,98.0,True,
9837.0,Susan Brown,Male,91.0,30.0,77.0,1.0,High,90.0,4.4,69.0,True,Pass
1949.0,Jessica Ortega,Male,91.0,20.0,,1.0,High,72.0,3.8,58.0,False,Pass
3705.0,Jeremy Hall,Female,,,60.0,3.0,Low,92.0,3.6,75.0,False,Pass
8177.0,Peter Jones,Female,90.0,25.0,90.0,2.0,Medium,80.0,2.9,64.0,True,Pass
1117.0,Michael Sampson,Male,85.0,25.0,,1.0,Medium,87.0,2.6,67.0,False,Pass
4510.0,Daniel Erickson,Male,91.0,22.0,77.0,3.0,Medium,62.0,1.0,56.0,False,Fail
6804.0,David Aguilar,Female,70.0,17.0,78.0,2.0,High,,3.6,56.0,,
4139.0,Benjamin Vance,Male,82.0,17.0,65.0,0.0,High,85.0,2.3,54.0,False,Pass
2604.0,Yolanda Chen,Male,82.0,15.0,85.0,3.0,High,,2.4,63.0,False,
1960.0,Kristina Douglas,,,15.0,60.0,2.0,Medium,85.0,2.1,96.0,False,Pass
3536.0,Scott Davidson,Male,88.0,25.0,78.0,3.0,Low,72.0,0.3,70.0,,Pass
1821.0,Alexandra Harrington,Female,82.0,12.0,65.0,1.0,Low,87.0,4.3,54.0,True,Pass
4853.0,Richard Johnson,Female,90.0,22.0,90.0,3.0,Low,80.0,3.1,76.0,False,Pass
,Christopher Chapman,Male,95.0,25.0,82.0,0.0,High,85.0,2.3,98.0,True,Pass
1152.0,Jerry Browning,Female,91.0,22.0,85.0,2.0,Low,92.0,2.5,58.0,False,Pass
2127.0,Carrie Page,Male,95.0,18.0,65.0,1.0,Low,85.0,3.1,91.0,True,Pass
5905.0,Michelle Benjamin,Male,78.0,18.0,85.0,2.0,Low,72.0,0.8,68.0,True,Pass
6617.0,James Woods,Male,88.0,12.0,77.0,2.0,High,87.0,3.2,67.0,True,Pass
1058.0,Angela Dunn,Female,78.0,18.0,65.0,1.0,Low,62.0,2.8,57.0,True,Fail
3442.0,Nathan Riley,Male,95.0,22.0,70.0,0.0,Medium,68.0,0.2,73.0,True,Fail
6862.0,Shelby Mahoney,Male,92.0,20.0,88.0,2.0,Medium,88.0,3.7,65.0,True,Pass
3900.0,Andrea Frey,Female,85.0,10.0,88.0,0.0,Low,92.0,1.3,100.0,True,Pass
7267.0,Justin Martin,Male,85.0,25.0,90.0,1.0,Medium,85.0,4.1,64.0,True,Pass
1387.0,Mark Hartman,Male,70.0,30.0,82.0,2.0,Medium,90.0,3.2,75.0,False,Pass
1452.0,Antonio Hansen,Male,88.0,10.0,86.0,2.0,High,87.0,3.0,72.0,False,Pass
8149.0,Lynn Anderson,Male,70.0,22.0,90.0,2.0,High,62.0,0.0,84.0,True,Fail
6967.0,Michael Cooley,Female,90.0,30.0,86.0,1.0,Low,87.0,3.6,69.0,False,Pass
7691.0,Mitchell Sanders,Female,70.0,18.0,70.0,0.0,High,62.0,3.3,74.0,True,Fail
5930.0,Maria Cross,Female,82.0,,82.0,,High,62.0,3.9,88.0,False,Fail
8618.0,Lisa Castillo,Female,85.0,25.0,70.0,1.0,Low,68.0,3.3,68.0,False,Fail
2530.0,Theresa Rodriguez,Male,88.0,25.0,90.0,0.0,High,80.0,1.2,80.0,True,Pass
8461.0,Kimberly Wood,Female,91.0,25.0,60.0,1.0,Medium,92.0,0.7,94.0,True,Pass
2746.0,Patricia Cox,Female,92.0,10.0,70.0,1.0,High,72.0,1.2,57.0,False,Pass
3184.0,Kimberly Blair,Female,82.0,12.0,86.0,1.0,Medium,88.0,4.1,82.0,False,Pass
9976.0,Jason Ramirez,Female,78.0,17.0,77.0,2.0,High,85.0,3.8,83.0,False,Pass
4919.0,Gail Dudley,Female,85.0,20.0,82.0,3.0,Medium,90.0,1.6,84.0,True,Pass
3267.0,John West,Male,92.0,8.0,65.0,3.0,High,62.0,2.0,84.0,False,Fail
7812.0,Patricia Carr,Male,92.0,8.0,60.0,3.0,Low,80.0,4.3,98.0,False,Pass
8814.0,David Nunez,Male,95.0,18.0,60.0,0.0,Low,72.0,4.0,64.0,False,Pass
4595.0,Collin Peterson,Female,70.0,17.0,78.0,0.0,Medium,62.0,3.6,79.0,True,Fail
9751.0,Rebecca Smith,Male,70.0,22.0,86.0,1.0,High,62.0,0.7,79.0,True,Fail
1823.0,Lisa Benjamin,Female,70.0,30.0,90.0,1.0,Medium,90.0,3.8,,False,Pass
7906.0,Desiree Reyes,Female,90.0,17.0,78.0,2.0,High,90.0,1.1,54.0,True,Pass
1508.0,Megan Diaz,Male,92.0,15.0,86.0,0.0,High,68.0,2.4,57.0,True,Fail
8619.0,Joseph Adams,Female,95.0,10.0,86.0,3.0,Low,87.0,3.9,60.0,False,Pass
2771.0,Sharon Watson,Male,88.0,22.0,60.0,0.0,Low,92.0,0.4,94.0,True,Pass
2669.0,Tiffany Smith,Female,91.0,20.0,86.0,1.0,Medium,72.0,2.1,73.0,True,Pass
